taxlevel	rankID	taxon	daughterlevels	total	00_SrnOcean_DCM	01_SrnOcean_SURF	02_SrnOcean_MESO	03_SPac_DCM	04_SPac_SURF	05_SPac_MESO	06_NPac_DCM	07_NPac_MESO	08_NPac_SURF	09_NAtl_SURF	10_AraSea_MESO
3	0.2.25.2	Opitutae	2	72	0	0	4	0	12	8	5	8	31	1	3
3	0.2.25.3	Verrucomicrobia_unclassified	1	89	0	0	14	8	10	12	11	15	7	10	2
3	0.2.25.4	Verrucomicrobiae	1	53	0	0	23	4	6	5	4	6	0	5	0
3	0.3.1.1	Archaeplastida_unclassified	1	8	0	0	0	3	1	1	1	2	0	0	0
3	0.3.1.2	Chloroplastida	3	56	9	6	8	3	1	0	15	2	5	7	0
3	0.3.1.3	Rhodophyceae	1	1	0	0	0	0	0	1	0	0	0	0	0
3	0.3.2.1	Cryptomonadales	2	3	2	0	0	0	0	0	0	0	0	1	0
3	0.3.3.1	Eukaryota_unclassified	1	2226	345	177	473	133	47	134	331	405	90	83	8
3	0.3.4.1	Discoba	1	7	0	0	3	0	1	0	1	1	1	0	0
3	0.3.5.1	Prymnesiophyceae	3	811	613	122	28	6	13	2	12	1	7	7	0
3	0.3.6.1	Holozoa	1	60	3	0	38	3	1	3	2	0	0	8	2
3	0.3.6.2	Nucletmycea	2	55	2	3	12	3	4	3	15	3	2	7	1
3	0.3.6.3	Opisthokonta_unclassified	1	26	4	2	6	1	2	0	6	3	0	2	0
3	0.3.7.1	Alveolata	3	399	54	52	105	20	17	24	48	44	17	17	1
3	0.3.7.2	Rhizaria	1	2	0	0	0	0	0	1	0	1	0	0	0
3	0.3.7.3	SAR_unclassified	1	93	13	12	14	2	4	6	26	8	4	4	0
3	0.3.7.4	Stramenopiles	3	187	29	32	17	5	14	4	36	5	14	31	0
3	0.4.1.1	unknown_unclassified	1	3229	199	169	275	226	214	262	417	298	173	305	691
4	0.1.1.1.1	Archaea_unclassified	1	832	1	0	95	38	45	145	127	135	18	56	172
4	0.1.2.1.1	Thermoprotei_unclassified	1	1	0	0	0	0	0	0	0	0	0	0	1
4	0.1.3.1.1	Euryarchaeota_unclassified	1	1672	6	0	188	184	215	143	393	167	76	211	89
4	0.1.3.2.1	Halobacteriales	3	120	0	0	4	32	0	1	0	4	0	0	79
4	0.1.3.3.1	Methanomicrobia_unclassified	1	21	0	0	5	0	1	2	4	2	0	7	0
4	0.1.3.3.2	Methanosarcinales	1	2	0	0	0	1	0	0	0	0	1	0	0
